cp:cannot stat ‘../../../../../../../cygdrive/r/MultiCoder_SOAP_4_DCTECH-MC01X_05-15-2016_17-00-00.wav’:No such file or directory,MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-29.9,7.1,-7.5
07_ME_musicB_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-31.2,4.8,-13.6
07_ME_musicB_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-29.9,5.3,-19.6
08_ME_newscast3_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-28.3,5.0,-9.1
08_ME_newscast3_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-28.8,4.3,-8.7
09_ME_FApromo_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-30.4,6.5,-11.5
09_ME_FApromo_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-33.6,9.9,-16.0
10_ME_musicC_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-29.0,3.0,-14.8
10_ME_musicC_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-32.1,6.0,-17.4
11_ME_fundingCreditB_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-30.4,3.8,-13.8
11_ME_fundingCreditB_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-30.2,3.3,-14.9
12_ME_segmentB_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-30.5,5.3,-10.3
12_ME_segmentB_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-30.6,5.4,-11.2
13_ME_ATCpromo_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-31.1,5.5,-14.5
13_ME_ATCpromo_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-35.2,9.0,-19.0
14_ME_return_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-29.9,3.7,-13.2
14_ME_return_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-29.9,3.2,-14.0
15_ME_musicD_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-29.6,2.9,-16.0
15_ME_musicD_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-29.5,3.2,-17.3
16_ME_fundingCreditC_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-29.3,3.2,-12.7
16_ME_fundingCreditC_MultiCoder_SOAP_1_DCTECH-MC01X_05-09-2016_06-00-00.wav,20160509_me_hour2_feed1,-30.0,3.4,-13.0
17_ME_segmentC_MultiCoder_SOAP_4_DCTECH-MC01X_05-09-2016_05-00-00.wav,20160509_me_hour1_feed1,-30.6,4.8,-12.7
